date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-02-22,27.77,27.841,27.26,27.75,27.75,6646419,6509857,-0.02,-0.07202017,27.66,"February 22, 24",-7.202017e-4
2024-02-21,27.12,28.04,27.07,27.96,27.96,5642088,5642100,0.84,3.1,27.71,"February 21, 24",0.031
2024-02-20,26.88,26.88,26.16,26.69,26.69,4711849,4711800,-0.19,-0.70685,26.56,"February 20, 24",-0.0070685
2024-02-16,27.34,28.03,27.16,27.4,27.4,4686221,4685800,0.06,0.21946,27.62,"February 16, 24",0.0021946
2024-02-15,27.04,27.64,26.92,27.39,27.39,4385488,4385500,0.35,1.29,27.31,"February 15, 24",0.0129
2024-02-14,26.21,26.99,25.87,26.79,26.79,5100599,5100600,0.58,2.21,26.57,"February 14, 24",0.0221
2024-02-13,26.9,27.2,25.575,25.85,25.85,7264231,7264200,-1.05,-3.9,26.08,"February 13, 24",-0.039
2024-02-12,27.1,28.095,26.87,27.9,27.9,4374586,4374600,0.8,2.95,27.77,"February 12, 24",0.0295
2024-02-09,27.71,27.734,26.7,26.89,26.89,4762128,4762100,-0.82,-2.96,26.98,"February 09, 24",-0.0296
2024-02-08,27.44,28.07,27.14,27.71,27.71,4854492,4854500,0.27,0.98397,27.73,"February 08, 24",0.0098397
2024-02-07,27.6,27.765,26.93,27.53,27.53,5017197,5017200,-0.07,-0.25362,27.31,"February 07, 24",-0.0025362
2024-02-06,26.94,27.79,26.93,27.62,27.62,7829540,7828400,0.68,2.52,27.48,"February 06, 24",0.0252
2024-02-05,28.6,28.6,26.74,26.84,26.84,8824323,8824300,-1.76,-6.15,27.11,"February 05, 24",-0.0615
2024-02-02,29,29.72,28.55,29.49,29.49,4959005,4954000,0.49,1.69,29.2,"February 02, 24",0.0169
2024-02-01,30.08,30.405,29.15,29.69,29.69,4174587,4174600,-0.39,-1.3,29.61,"February 01, 24",-0.013
2024-01-31,30.49,31.36,29.715,29.75,29.75,5760362,5760400,-0.74,-2.43,30.37,"January 31, 24",-0.0243
2024-01-30,30.34,30.84,30,30.61,30.61,4714657,4714700,0.27,0.88991,30.51,"January 30, 24",0.0088991
2024-01-29,30.46,30.97,29.6894,30.91,30.91,4649101,4649100,0.45,1.48,30.44,"January 29, 24",0.0148
2024-01-26,30.22,30.7,29.8707,30.61,30.61,5123914,5123900,0.39,1.29,30.43,"January 26, 24",0.0129
2024-01-25,29.96,30.45,29.21,29.88,29.88,4683347,4683300,-0.08,-0.26702,29.69,"January 25, 24",-0.0026702
2024-01-24,30.25,30.37,29.32,29.76,29.76,8916006,8916000,-0.49,-1.62,29.85,"January 24, 24",-0.0162
2024-01-23,29.15,30.485,29.0301,29.51,29.51,9363900,9363900,0.36,1.23,29.64,"January 23, 24",0.0123
2024-01-22,26.87,27.8552,26.77,27.62,27.62,5793822,5793800,0.75,2.79,27.56,"January 22, 24",0.0279
2024-01-19,26.73,27.38,26.345,27.36,27.36,6001915,5999900,0.63,2.36,26.94,"January 19, 24",0.0236
2024-01-18,27.62,28.72,26.58,26.75,26.75,12853154,12853200,-0.87,-3.15,27.25,"January 18, 24",-0.0315
2024-01-17,27.17,27.67,27.05,27.18,27.18,9606378,9606400,0.01,0.0368053,27.31,"January 17, 24",3.68053e-4
2024-01-16,29.17,29.29,27.275,27.87,27.87,10715028,10715000,-1.3,-4.46,28.1,"January 16, 24",-0.0446
2024-01-12,31.19,31.82,30.02,30.03,30.03,3933935,3933500,-1.16,-3.72,30.5,"January 12, 24",-0.0372
2024-01-11,31.49,31.64,30.66,30.88,30.88,4419749,4419700,-0.61,-1.94,30.96,"January 11, 24",-0.0194
2024-01-10,31.8,32.14,31.31,31.65,31.65,4733613,4733500,-0.15,-0.4717,31.71,"January 10, 24",-0.004717
2024-01-09,31.82,32.45,31.55,31.94,31.94,5792123,5792100,0.12,0.37712,31.94,"January 09, 24",0.0037712
2024-01-08,31.82,32.09,31.22,31.73,31.73,4992051,4992100,-0.09,-0.28284,31.7,"January 08, 24",-0.0028284
2024-01-05,30.54,32.305,30.09,32.13,32.13,7317669,7313000,1.59,5.21,31.84,"January 05, 24",0.0521
2024-01-04,31.13,31.49,30.86,31.13,31.13,4543572,4543600,0,0,31.19,"January 04, 24",0
2024-01-03,32.12,32.27,31.045,31.49,31.49,8245658,8245700,-0.63,-1.96,31.66,"January 03, 24",-0.0196
2024-01-02,33.53,33.97,33.04,33.31,33.31,3837998,3838000,-0.22,-0.65613,33.46,"January 02, 24",-0.0065613
2023-12-29,34.31,34.74,33.93,34,34,3295505,3294300,-0.31,-0.90353000000000006,34.21,"December 29, 23",-0.0090353
2023-12-28,34.68,34.8118,34.198,34.55,34.55,3909863,3909900,-0.13,-0.37486,34.47,"December 28, 23",-0.0037486
2023-12-27,34.23,35.035,33.7498,34.81,34.81,5798101,5798100,0.58,1.69,34.64,"December 27, 23",0.0169
2023-12-26,33.86,34.12,33.5,33.87,33.87,4505900,4505900,0.01,0.02953337,33.82,"December 26, 23",2.953337e-4
2023-12-22,32.96,34.44,32.88,33.77,33.77,9066769,9064600,0.81,2.46,33.87,"December 22, 23",0.0246
2023-12-21,31.25,32.14,30.59,32.02,32.02,5566085,5566100,0.77,2.46,31.5,"December 21, 23",0.0246
2023-12-20,32.01,32.475,30.56,30.65,30.65,7516945,7516900,-1.36,-4.25,31.43,"December 20, 23",-0.0425
2023-12-19,31.19,33,30.9101,32.42,32.42,7967243,7967200,1.23,3.94,32.24,"December 19, 23",0.0394
2023-12-18,31.44,32.31,30.52,30.52,30.52,7270394,7270400,-0.92,-2.93,31.21,"December 18, 23",-0.0293
2023-12-15,29.93,32.5,29.67,31.1,31.1,19183792,19183200,1.17,3.91,31.14,"December 15, 23",0.0391
2023-12-14,27.04,30.135,26.94,29.9,29.9,16594044,16594000,2.86,10.58,29.16,"December 14, 23",0.1058
2023-12-13,24.04,26.04,23.885,25.99,25.99,7919148,7919100,1.95,8.11,25.22,"December 13, 23",0.0811
2023-12-12,24.68,24.75,23.8,24.05,24.05,5849349,5849300,-0.63,-2.55,24.21,"December 12, 23",-0.0255
2023-12-11,24.75,25.3199,24.67,24.93,24.93,4290666,4290700,0.18,0.72727,24.99,"December 11, 23",0.0072727
2023-12-08,25.04,25.725,24.87,25.02,25.02,5133177,5128100,-0.02,-0.0798722,25.11,"December 08, 23",-7.98722e-4
2023-12-07,25.16,25.29,24.27,24.94,24.94,6732082,6780000,-0.22,-0.8744,24.68,"December 07, 23",-0.008744
2023-12-06,25.6,25.96,25.04,25.12,25.12,4055033,4055000,-0.48,-1.88,25.42,"December 06, 23",-0.0188
2023-12-05,26.5,26.53,25.13,25.24,25.24,7715838,7715800,-1.26,-4.75,25.51,"December 05, 23",-0.0475
2023-12-04,27.28,27.93,26.765,26.81,26.81,4964975,4965000,-0.47,-1.72,27.17,"December 04, 23",-0.0172
2023-12-01,27,28.015,26.5101,27.74,27.74,5462935,5455100,0.74,2.74,27.64,"December 01, 23",0.0274
2023-11-30,26.58,27.245,26.4399,26.86,26.86,4823473,4823500,0.28,1.05,26.86,"November 30, 23",0.0105
2023-11-29,26.42,27.04,26.22,26.44,26.44,6103838,6103800,0.02,0.07570023,26.58,"November 29, 23",7.570023e-4
2023-11-28,26.22,26.29,25.64,26.08,26.08,4382377,4382400,-0.14,-0.53394,26.02,"November 28, 23",-0.0053394
2023-11-27,26.22,26.5958,25.87,26.3,26.3,3428999,3429000,0.08,0.30511,26.35,"November 27, 23",0.0030511
2023-11-24,26.16,26.56,26.16,26.24,26.24,1282299,1282300,0.08,0.30581,26.36,"November 24, 23",0.0030581
2023-11-22,26.28,26.62,25.98,26.38,26.38,2925838,2923700,0.1,0.38052,26.39,"November 22, 23",0.0038052
2023-11-21,26.28,26.625,26.17,26.39,26.39,2881900,2881900,0.11,0.41857,26.36,"November 21, 23",0.0041857
2023-11-20,26.32,26.7,25.97,26.47,26.47,4231732,4231300,0.15,0.56991,26.55,"November 20, 23",0.0056991
2023-11-17,26.35,26.9775,26.12,26.22,26.22,4988743,4988700,-0.13,-0.49336,26.46,"November 17, 23",-0.0049336
2023-11-16,26.6,26.99,25.94,26,26,4080260,4080300,-0.6,-2.26,26.19,"November 16, 23",-0.0226
2023-11-15,26.52,27.34,26.36,26.95,26.95,5857249,5857200,0.43,1.62,26.9,"November 15, 23",0.0162
2023-11-14,25.44,26.565,25.36,26.17,26.17,5472140,5472100,0.73,2.87,26.12,"November 14, 23",0.0287
2023-11-13,24.49,25.025,24.3001,24.6,24.6,2839661,2839700,0.11,0.44916,24.68,"November 13, 23",0.0044916
