date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-12-22,247.22,249.42,245.85,248.03,248.03,3322300,3309941,0.81,0.32764,248.03,"December 22, 23",0.0032764
2023-12-21,248.11,248.7494,244.63,247.36,247.36,5851662,5851700,-0.75,-0.30229,246.28,"December 21, 23",-0.0030229
2023-12-20,246.5,252.68,245.93,246.25,246.25,18816522,18816500,-0.25,-0.10142,249.5,"December 20, 23",-0.0010142
2023-12-19,281.07,283.5799,278.5,280,280,6880302,6880300,-1.07,-0.38069,273.41,"December 19, 23",-0.0038069
2023-12-18,283.25,285.53,280.64,281.92,281.92,2468328,2469100,-1.33,-0.46955,282.59,"December 18, 23",-0.0046955
2023-12-15,277.85,284.52,276.885,281.29,281.29,2767757,2766700,3.44,1.24,281.35,"December 15, 23",0.0124
2023-12-14,277.5,282.24,275.97,279.46,279.46,2889748,2889700,1.96,0.70631,279.57,"December 14, 23",0.0070631
2023-12-13,272.04,274.87,268.56,273.83,273.83,1499964,1500000,1.79,0.65799,272.16,"December 13, 23",0.0065799
2023-12-12,273.48,276.25,272.14,273.01,273.01,1539948,1539900,-0.47,-0.17186,274.24,"December 12, 23",-0.0017186
2023-12-11,271.96,273.9,271.09,271.38,271.38,1295508,1295500,-0.58,-0.21327,272.31,"December 11, 23",-0.0021327
2023-12-08,267.42,273.76,267.375,272.21,272.21,2046438,2046000,4.79,1.79,272.16,"December 08, 23",0.0179
2023-12-07,268,268.98,265.525,267.63,266.37,1401366,1401400,-0.37,-0.13806,267.93,"December 07, 23",-0.0013806
2023-12-06,267.43,269.035,266.39,267.21,265.95,1649335,1649300,-0.22,-0.08226452,267.29,"December 06, 23",-8.226452e-4
2023-12-05,264.22,267.28,262.51,266.08,264.83,1176323,1176200,1.86,0.70396,265.61,"December 05, 23",0.0070396
2023-12-04,262.63,267.8,261.89,265.6,264.35,1420373,1420300,2.97,1.13,265.9,"December 04, 23",0.0113
2023-12-01,259.15,265.3,258.53,264.42,264.42,1994950,1994900,5.27,2.03,263.58,"December 01, 23",0.0203
2023-11-30,253.83,259.185,252.17,258.83,258.83,1806611,1806600,5,1.97,257.48,"November 30, 23",0.0197
2023-11-29,255.59,257.2591,253.43,253.93,253.93,1012088,1012100,-1.66,-0.64948,254.86,"November 29, 23",-0.0064948
2023-11-28,254.06,256.3,252.16,253.41,253.41,1141912,1141900,-0.65,-0.25585,253.63,"November 28, 23",-0.0025585
2023-11-27,255.83,256.84,251.66,253.6,253.6,1787553,1787400,-2.23,-0.87167,253.36,"November 27, 23",-0.0087167
2023-11-24,257.23,259.21,256.46,257.61,257.61,452183,452200,0.38,0.14773,257.94,"November 24, 23",0.0014773
2023-11-22,257.56,257.56,255.12,256.46,256.46,954899,954700,-1.1,-0.42708,256.33,"November 22, 23",-0.0042708
2023-11-21,255.06,256.58,253.27,255.86,255.86,851688,851700,0.8,0.31365,255.39,"November 21, 23",0.0031365
2023-11-20,255.36,256.6,252.38,255.54,255.54,1201669,1201600,0.18,0.07048872,255.01,"November 20, 23",7.048872e-4
2023-11-17,256.85,257.58,253.6338,255.95,255.95,1225910,1231400,-0.9,-0.3504,256.07,"November 17, 23",-0.003504
2023-11-16,256.88,257.744,251.5272,254.94,254.94,1496084,1496100,-1.94,-0.75522,253.5,"November 16, 23",-0.0075522
2023-11-15,253.93,261.92,253.93,257.42,257.42,2121863,2121900,3.49,1.37,258.38,"November 15, 23",0.0137
2023-11-14,248.95,255.895,248.26,254.18,254.18,1899059,1899100,5.23,2.1,254.14,"November 14, 23",0.021
2023-11-13,244.89,246.04,242.3001,245.39,245.39,946204,946200,0.5,0.20417,244.45,"November 13, 23",0.0020417
2023-11-10,242.17,246.79,240.75,246.03,246.03,1239465,1239500,3.86,1.59,245.01,"November 10, 23",0.0159
2023-11-09,246.55,247,240.745,241.19,241.19,944195,944100,-5.36,-2.17,242.28,"November 09, 23",-0.0217
2023-11-08,244.99,245.56,242.87,245.37,245.37,1104778,1104800,0.38,0.15511,244.53,"November 08, 23",0.0015511
2023-11-07,242.97,245.64,242.32,244.2,244.2,948660,948600,1.23,0.50624,244.27,"November 07, 23",0.0050624
2023-11-06,247.36,247.7,241.91,245.33,245.33,1016802,1018000,-2.03,-0.82067,244.27,"November 06, 23",-0.0082067
2023-11-03,249.21,250,246.8975,247.14,247.14,1409478,1409200,-2.07,-0.83062,248.2,"November 03, 23",-0.0083062
2023-11-02,245.22,249.23,245.22,247.25,247.25,1490272,1490200,2.03,0.82783,247.71,"November 02, 23",0.0082783
2023-11-01,240.56,245.32,239.69,243.23,243.23,2079373,2079300,2.67,1.11,243.37,"November 01, 23",0.0111
2023-10-31,238.18,240.68,236.7,240.1,240.1,1546602,1550400,1.92,0.80611,239.49,"October 31, 23",0.0080611
2023-10-30,229.53,237.63,229.07,236.82,236.82,2081658,2081700,7.29,3.18,235.29,"October 30, 23",0.0318
2023-10-27,228.46,233.19,227.09,228.84,228.84,2004509,2004500,0.38,0.16633,229.32,"October 27, 23",0.0016633
2023-10-26,234.42,235.72,224.69,227.93,227.93,2987911,2987800,-6.49,-2.77,227.95,"October 26, 23",-0.0277
2023-10-25,240.71,241.38,234.33,235.21,235.21,1612510,1612400,-5.5,-2.28,236.04,"October 25, 23",-0.0228
2023-10-24,239.31,243.07,239.08,241.68,241.68,1469512,1469500,2.37,0.99035,241.66,"October 24, 23",0.0099035
2023-10-23,239.7,241.86,236.95,237.97,237.97,1342897,1342900,-1.73,-0.72174,239.21,"October 23, 23",-0.0072174
2023-10-20,244.38,245.8099,238.62,240.62,240.62,1680263,1680200,-3.76,-1.54,240.83,"October 20, 23",-0.0154
2023-10-19,244.15,247.27,242.34,243.29,243.29,1388421,1388400,-0.86,-0.35224,244.32,"October 19, 23",-0.0035224
2023-10-18,245.1,246.065,241.92,243.61,243.61,1842422,1842400,-1.49,-0.60792,243.68,"October 18, 23",-0.0060792
2023-10-17,245.36,249.45,244.78,248.03,248.03,1462471,1462500,2.67,1.09,247.92,"October 17, 23",0.0109
2023-10-16,244.26,251.06,243.15,247.56,247.56,2025882,2025800,3.3,1.35,248.17,"October 16, 23",0.0135
2023-10-13,251.68,253.8,241.04,242.84,242.84,2920058,2919200,-8.84,-3.51,244.36,"October 13, 23",-0.0351
2023-10-12,255.16,256,250.08,252.04,252.04,2514859,2514800,-3.12,-1.22,251.58,"October 12, 23",-0.0122
2023-10-11,256.5,256.92,252.58,255.46,255.46,2149226,2149200,-1.04,-0.40546,254.24,"October 11, 23",-0.0040546
2023-10-10,255.61,259.21,255.3596,256.79,256.79,1500990,1501000,1.18,0.46164,257.29,"October 10, 23",0.0046164
2023-10-09,255,256.8699,252.88,255.72,255.72,1725953,1725900,0.72,0.28235,254.89,"October 09, 23",0.0028235
2023-10-06,259.19,260.43,257.33,257.9,257.9,1580572,1580300,-1.29,-0.4977,258.53,"October 06, 23",-0.004977
2023-10-05,258.7,260.08,257.485,259.16,259.16,1460134,1460100,0.46,0.17781,258.76,"October 05, 23",0.0017781
2023-10-04,260.16,261.5041,255.67,260.05,260.05,2152659,2152600,-0.11,-0.04228167,258.84,"October 04, 23",-4.228167e-4
2023-10-03,264.33,265.5,259.3,260.19,260.19,2090292,2090300,-4.14,-1.57,260.92,"October 03, 23",-0.0157
2023-10-02,266,266.721,263.555,265.11,265.11,1913038,1913000,-0.89,-0.33459,264.94,"October 02, 23",-0.0033459
2023-09-29,269.39,270.46,263.655,264.92,264.92,2372115,2373200,-4.47,-1.66,266.22,"September 29, 23",-0.0166
2023-09-28,262.06,268.17,261,266.44,266.44,2038531,2038500,4.38,1.67,266.39,"September 28, 23",0.0167
2023-09-27,261.9,263.08,260.05,262.71,262.71,1885760,1885800,0.81,0.30928,261.7,"September 27, 23",0.0030928
2023-09-26,265.14,266.35,260.03,261.39,261.39,2368325,2368300,-3.75,-1.41,262.25,"September 26, 23",-0.0141
2023-09-25,260.29,268.4278,260.2225,266.43,266.43,2356057,2355900,6.14,2.36,266.01,"September 25, 23",0.0236
2023-09-22,262.03,264.75,259.07,261.09,261.09,2826670,2826700,-0.94,-0.35874,261.68,"September 22, 23",-0.0035874
2023-09-21,262,268.38,259.23,261.85,261.85,7081171,7079500,-0.15,-0.05725191,262.87,"September 21, 23",-5.725191e-4
2023-09-20,251.65,254.18,250.17,250.52,250.52,4014561,4014600,-1.13,-0.44904,254.1,"September 20, 23",-0.0044904
2023-09-19,249,251.185,246.05,249.99,249.99,2219715,2217600,0.99,0.39759,248.74,"September 19, 23",0.0039759
2023-09-18,253.79,254.6946,249.06,249.3,249.3,1780498,1780500,-4.49,-1.77,250.8,"September 18, 23",-0.0177
2023-09-15,258.61,258.62,252.62,254.08,254.08,2075270,2074600,-4.53,-1.75,254.79,"September 15, 23",-0.0175
2023-09-14,254,258.18,253.73,257.03,257.03,1568059,1568100,3.03,1.19,256.81,"September 14, 23",0.0119
2023-09-13,250.92,254.695,249.91,252.16,252.16,1524786,1524600,1.24,0.49418,252.28,"September 13, 23",0.0049418
2023-09-12,253.68,254.64,250.71,251.47,251.47,1133838,1133800,-2.21,-0.87118,252.38,"September 12, 23",-0.0087118
2023-09-11,255.11,255.8199,253.31,254.7,254.7,1263746,1263700,-0.41,-0.16071,254.79,"September 11, 23",-0.0016071
2023-09-08,254.49,255.21,251.79,253.31,253.31,1179725,1179700,-1.18,-0.46367,253.04,"September 08, 23",-0.0046367
2023-09-07,257.39,257.435,254.53,256.16,254.9,1209055,1209100,-1.23,-0.47787,255.73,"September 07, 23",-0.0047787
2023-09-06,257.45,258.77,255.48,257.47,256.2,1099898,1099900,0.02,0.0077685,257.12,"September 06, 23",7.7685e-5
2023-09-05,260.18,260.33,256.395,256.62,255.36,1224923,1224900,-3.56,-1.37,257.92,"September 05, 23",-0.0137
2023-09-01,262.75,263.61,259.53,260.97,259.69,1436500,1436500,-1.78,-0.67745,261.37,"September 01, 23",-0.0067745
2023-08-31,263.67,264.63,260.6,261.02,259.74,1524300,1524300,-2.65,-1.01,262.08,"August 31, 23",-0.0101
2023-08-30,261.67,264.82,259.88,263.89,262.59,1524400,1524400,2.22,0.8484,262.86,"August 30, 23",0.008484
2023-08-29,257.37,260.63,257.17,260.58,259.3,1793700,1793700,3.21,1.25,259.46,"August 29, 23",0.0125
2023-08-28,259.78,262.96,257.25,258.35,257.08,1059800,1059800,-1.43,-0.55047,259.52,"August 28, 23",-0.0055047
2023-08-25,259.37,260.04,254.5,258.73,257.46,1415000,1415000,-0.64,-0.24675,257.76,"August 25, 23",-0.0024675
2023-08-24,258.67,261.49,257.76,258.78,257.51,1795700,1795700,0.11,0.04252523,259.34,"August 24, 23",4.252523e-4
2023-08-23,258.76,261.52,257.27,260.45,259.17,1653700,1653700,1.69,0.65311,259.75,"August 23, 23",0.0065311
2023-08-22,259.94,261.34,257.04,258.98,257.71,1473700,1473700,-0.96,-0.36932,259.12,"August 22, 23",-0.0036932
2023-08-21,261.82,263.39,258.9,259.94,258.66,1628600,1628600,-1.88,-0.71805,260.74,"August 21, 23",-0.0071805
