date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-02-16,179.61,179.98,178.16,179.03,179.03,8097412,6234328,-0.58,-0.32292,178.98,"February 16, 24",-0.0032292
2024-02-15,176.15,180.21,176.15,179.87,179.87,8723390,8723400,3.72,2.11,179.3,"February 15, 24",0.0211
2024-02-14,175.07,176.1,174.42,176.03,176.03,7056664,7056700,0.96,0.54835,175.39,"February 14, 24",0.0054835
2024-02-13,175.32,176.2299,172.615,174.26,174.26,8397631,8397600,-1.06,-0.60461,174.17,"February 13, 24",-0.0060461000000000004
2024-02-12,174.78,176.808,173.7,175.79,175.79,8539316,8539300,1.01,0.57787,175.75,"February 12, 24",0.0057787
2024-02-09,175,175.1,173.6731,175.01,175.01,6296729,6296700,0.01,0.00571429,174.69,"February 09, 24",5.71429e-5
2024-02-08,175,175.3058,173.57,174.8,174.8,6043485,6060300,-0.2,-0.11429,174.49,"February 08, 24",-0.0011429
2024-02-07,175.69,175.87,173.96,175.43,175.43,7225478,7225500,-0.26,-0.14799,175.14,"February 07, 24",-0.0014799
2024-02-06,174.61,175.87,173.76,175.1,175.1,6737414,6764800,0.49,0.28063,174.72,"February 06, 24",0.0028063
2024-02-05,173.86,175.09,172.92,174.5,174.5,7820160,7820200,0.64,0.36811,174.28,"February 05, 24",0.0036811
2024-02-02,173.3,175.8162,173.26,174.73,174.73,8607839,8607600,1.43,0.82516,174.78,"February 02, 24",0.0082516
2024-02-01,173.64,174.84,171.43,173.73,173.73,9340048,9354800,0.09,0.05183138,173.26,"February 01, 24",5.183138e-4
2024-01-31,176.2,178.3,174.34,174.36,174.36,11503320,11521800,-1.84,-1.04,175.82,"January 31, 24",-0.0104
2024-01-30,172.83,176.7603,172.83,176.27,176.27,10822075,10822100,3.44,1.99,175.57,"January 30, 24",0.0199
2024-01-29,172.24,172.84,171.3,172.73,172.73,6971192,6971200,0.49,0.28449,172.24,"January 29, 24",0.0028449
2024-01-26,172.61,173.06,171.78,172.28,172.28,7442955,7443000,-0.33,-0.19118,172.41,"January 26, 24",-0.0019118
2024-01-25,172.31,172.99,170.905,172.94,172.94,8873481,8873500,0.63,0.36562,172.28,"January 25, 24",0.0036562
2024-01-24,169.36,171.01,168.8627,170.5,170.5,9966060,9967100,1.14,0.67312,170.37,"January 24, 24",0.0067312
2024-01-23,169.67,169.75,168.44,168.99,168.99,8348929,8360800,-0.68,-0.40078,169.08,"January 23, 24",-0.0040078
2024-01-22,170.46,171.9803,169.71,170.11,170.11,12837505,12837500,-0.35,-0.20533,170.55,"January 22, 24",-0.0020533
2024-01-19,167.55,170.57,167.08,170.31,170.31,13115664,13114400,2.76,1.65,169.42,"January 19, 24",0.0165
2024-01-18,167.12,167.53,165.24,167.42,167.42,9322255,9382300,0.3,0.17951,166.59,"January 18, 24",0.0017951
2024-01-17,167.34,169.07,166.49,167.09,167.09,11107466,11107500,-0.25,-0.1494,167.46,"January 17, 24",-0.001494
2024-01-16,164.87,168.09,164.3,167.99,167.99,17206420,17206400,3.12,1.89,166.87,"January 16, 24",0.0189
2024-01-12,173.8,176.31,168.9,169.05,169.05,19429200,19429200,-4.75,-2.73,171.42,"January 12, 24",-0.0273
2024-01-11,170.33,170.36,168.64,170.3,170.3,11919500,11919500,-0.03,-0.01761287,169.77,"January 11, 24",-1.761287e-4
2024-01-10,170,171.08,168.95,171.02,171.02,9670200,9670200,1.02,0.6,170.35,"January 10, 24",0.006
2024-01-09,171.62,171.79,170.1,170.66,170.66,9923600,9923600,-0.96,-0.55938,170.85,"January 09, 24",-0.0055938
2024-01-08,172.02,172.36,169.49,172.02,172.02,11229900,11229900,0,0,171.29,"January 08, 24",0
2024-01-05,171.47,173.38,171.47,172.27,172.27,10064200,10064200,0.8,0.46655,172.37,"January 05, 24",0.0046655
2024-01-04,170.64,173.35,170.54,171.41,171.41,11972500,11972500,0.77,0.45124,171.77,"January 04, 24",0.0045124
2024-01-03,171.86,172.04,170.37,171.33,170.28,9852300,9852300,-0.53,-0.30839,171.25,"January 03, 24",-0.0030839
2024-01-02,169.09,172.17,168.91,172.08,171.03,9977400,9977400,2.99,1.77,171.05,"January 02, 24",0.0177
2023-12-29,170,170.69,169.63,170.1,169.06,6431800,6431800,0.1,0.05882353,170.14,"December 29, 23",5.882353e-4
2023-12-28,169.35,170.66,169,170.3,169.26,6320100,6320100,0.95,0.56097,169.99,"December 28, 23",0.0056097
2023-12-27,167.84,169.47,167.58,169.4,168.36,6428600,6428600,1.56,0.92946,168.82,"December 27, 23",0.0092946
2023-12-26,167.46,168.77,167.18,168.39,167.36,4683600,4683600,0.93,0.55536,168.11,"December 26, 23",0.0055536
2023-12-22,167.5,168.23,167.23,167.4,166.37,6574900,6574900,-0.1,-0.05970149,167.62,"December 22, 23",-5.970149e-4
2023-12-21,166.84,168.09,165.68,167.5,166.47,7601700,7601700,0.66,0.39559,167.09,"December 21, 23",0.0039559
2023-12-20,167.99,169.41,166.45,166.55,165.53,10734700,10734700,-1.44,-0.85719,167.47,"December 20, 23",-0.0085719
2023-12-19,166,168.47,165.55,168.45,167.42,10345700,10345700,2.45,1.48,167.49,"December 19, 23",0.0148
2023-12-18,165.92,167.13,165.63,166.23,165.21,8469600,8469600,0.31,0.18684,166.33,"December 18, 23",0.0018684
2023-12-15,163.08,165.28,162.39,165.23,164.22,20305900,20305900,2.15,1.32,164.3,"December 15, 23",0.0132
2023-12-14,161.83,164.84,161.71,163.99,162.98,13643000,13643000,2.16,1.33,163.51,"December 14, 23",0.0133
2023-12-13,160.52,162.03,159.77,161.06,160.07,12379100,12379100,0.54,0.33641,160.95,"December 13, 23",0.0033641
2023-12-12,159.23,160.65,158.88,160.52,159.54,10223000,10223000,1.29,0.81015,160.02,"December 12, 23",0.0081015
2023-12-11,158.52,159.3,158.15,159.1,158.12,8093900,8093900,0.58,0.36588,158.85,"December 11, 23",0.0036588
2023-12-08,157.26,158.78,156.98,158.52,157.55,7366200,7366200,1.26,0.80122,158.09,"December 08, 23",0.0080122
2023-12-07,156.69,157.31,156.15,156.79,155.83,8130900,8130900,0.1,0.06382028,156.75,"December 07, 23",6.382028e-4
2023-12-06,158.84,159.22,156,156.31,155.35,9366000,9366000,-2.53,-1.59,157.18,"December 06, 23",-0.0159
2023-12-05,157.26,158.5,156.97,157.97,157,9135600,9135600,0.71,0.45148,157.81,"December 05, 23",0.0045148
2023-12-04,156.02,158.05,155.88,157.99,157.02,9607500,9607500,1.97,1.26,157.31,"December 04, 23",0.0126
2023-12-01,155.82,157.86,155.82,156.84,155.88,8913000,8913000,1.02,0.6546,156.84,"December 01, 23",0.006546
2023-11-30,154.91,156.13,154.38,156.08,155.12,9869800,9869800,1.17,0.75528,155.53,"November 30, 23",0.0075528
