date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-02-22,763.58,775.12,756.27,769.64,769.64,3089108,3097783,6.06,0.79363,768.49,"February 22, 24",0.0079363
2024-02-21,738.08,749.5,733.24,745.91,745.91,3473650,3548700,7.83,1.06,742.06,"February 21, 24",0.0106
2024-02-20,790,793.38,753.2001,755.66,755.66,4701094,4701100,-34.34,-4.35,763.63,"February 20, 24",-0.0435
2024-02-16,771.03,794.47,763.5,782.06,782.06,5009368,5000700,11.03,1.43,781.76,"February 16, 24",0.0143
2024-02-15,755.8,762.99,750.01,757.78,757.78,2507030,2507000,1.98,0.26197,758.07,"February 15, 24",0.0026197
2024-02-14,745.82,764.05,745,757.31,757.31,3394326,3394300,11.49,1.54,755.17,"February 14, 24",0.0154
2024-02-13,730.18,742.98,730.18,742.97,741.67,2860265,2860300,12.79,1.75,739.39,"February 13, 24",0.0175
2024-02-12,740.8,740.8,726.45,737.26,735.97,2932304,2932300,-3.54,-0.47786,733.2,"February 12, 24",-0.0047786
2024-02-09,735.5,745.7,733.61,740.16,738.86,2833894,2833900,4.66,0.63358,739.7,"February 09, 24",0.0063358
2024-02-08,728.32,741,725.75,735.68,734.39,4636885,4636900,7.36,1.01,734.64,"February 08, 24",0.0101
2024-02-07,710.38,740.99,707.02,725.38,724.11,5798000,5798000,15,2.11,724.46,"February 07, 24",0.0211
2024-02-06,742,742,691.1,705.03,703.8,8187300,8187300,-36.97,-4.98,712.71,"February 06, 24",-0.0498
2024-02-05,691.02,711.88,682.53,706.2,704.96,7602400,7602400,15.18,2.2,700.2,"February 05, 24",0.022
2024-02-02,662.38,672.62,659.74,667.65,666.48,3018000,3018000,5.27,0.79562,666.67,"February 02, 24",0.0079562
2024-02-01,647.33,660.52,643.17,660.43,659.27,2494300,2494300,13.1,2.02,654.71,"February 01, 24",0.0202
2024-01-31,650.38,663.55,637,645.61,644.48,4719000,4719000,-4.77,-0.73342,648.72,"January 31, 24",-0.0073342
2024-01-30,645.7,646.8,641,644.98,643.85,2006100,2006100,-0.72,-0.11151,644.26,"January 30, 24",-0.0011151
2024-01-29,641.5,645.65,639.77,645,643.87,2718500,2718500,3.5,0.5456,643.47,"January 29, 24",0.005456
2024-01-26,637.35,639.6,630.5,639.25,638.13,2410300,2410300,1.9,0.29811,636.45,"January 26, 24",0.0029811
2024-01-25,627.37,632.61,624.68,627.62,626.52,2407900,2407900,0.25,0.03984889,628.3,"January 25, 24",3.984889e-4
2024-01-24,633.52,643.17,632,633.7,632.59,2276900,2276900,0.18,0.02841268,636.29,"January 24, 24",2.841268e-4
2024-01-23,627.69,630,614.82,629.68,628.58,2525000,2525000,1.99,0.31704,624.83,"January 23, 24",0.0031704
2024-01-22,630,632.64,625,630.88,629.78,2030200,2030200,0.88,0.13968,629.51,"January 22, 24",0.0013968
2024-01-19,622.39,629.59,620,628.58,627.48,3120500,3120500,6.19,0.99455,626.06,"January 19, 24",0.0099455
2024-01-18,621.28,623.88,612.7,623.35,622.26,3385000,3385000,2.07,0.33318,619.98,"January 18, 24",0.0033318
2024-01-17,639.45,640.52,625.19,628.91,627.81,2124100,2124100,-10.54,-1.65,631.54,"January 17, 24",-0.0165
2024-01-16,643.91,647.73,633.67,634.57,633.46,2413600,2413600,-9.34,-1.45,638.66,"January 16, 24",-0.0145
2024-01-12,638.2,644,633.01,642.92,641.8,2066400,2066400,4.72,0.73958,639.98,"January 12, 24",0.0073958
2024-01-11,634.39,639.76,628.14,635.72,634.61,2690300,2690300,1.33,0.20965,634.54,"January 11, 24",0.0020965
2024-01-10,628.49,637.05,625.76,630.19,629.09,2679100,2679100,1.7,0.27049,631,"January 10, 24",0.0027049
2024-01-09,630.11,634.42,623.72,625.48,624.39,2918900,2918900,-4.63,-0.73479,627.87,"January 09, 24",-0.0073479
2024-01-08,622.43,626.06,609.59,626.03,624.93,2453900,2453900,3.6,0.57838,620.56,"January 08, 24",0.0057838
2024-01-05,614,619.94,610.19,618.55,617.47,2402500,2402500,4.55,0.74104,616.23,"January 05, 24",0.0074104
2024-01-04,625.26,636.41,613.27,614.5,613.42,6272500,6272500,-10.76,-1.72,621.39,"January 04, 24",-0.0172
2024-01-03,600,619.84,598.8,617.7,616.62,5130300,5130300,17.7,2.95,612.11,"January 03, 24",0.0295
2024-01-02,580.41,592.72,579.05,592.2,591.16,3226700,3226700,11.79,2.03,587.99,"January 02, 24",0.0203
2023-12-29,582.85,586.17,579.47,582.92,581.9,1998000,1998000,0.07,0.01200995,582.85,"December 29, 23",1.200995e-4
2023-12-28,581.98,586.69,580,580.85,579.83,1973500,1973500,-1.13,-0.19416,582.51,"December 28, 23",-0.0019416
2023-12-27,570.5,583.68,570.5,581.51,580.49,2163400,2163400,11.01,1.93,578.56,"December 27, 23",0.0193
2023-12-26,569.5,572.77,567.64,570.67,569.67,1678700,1678700,1.17,0.20544,570.36,"December 26, 23",0.0020544
2023-12-22,573.02,575.9,567.42,570.39,569.39,2225600,2225600,-2.63,-0.45897,571.24,"December 22, 23",-0.0045897
2023-12-21,571.41,575,567.02,572,571,1786500,1786500,0.59,0.10325,571.34,"December 21, 23",0.0010325
2023-12-20,576.48,579.86,570.03,570.21,569.21,2647100,2647100,-6.27,-1.09,573.37,"December 20, 23",-0.0109
2023-12-19,580.25,585.11,577.25,579.81,578.8,2192700,2192700,-0.44,-0.07582938,580.72,"December 19, 23",-7.582938e-4
2023-12-18,576.47,583.05,575.7,579.76,578.75,3033900,3033900,3.29,0.57071,579.5,"December 18, 23",0.0057071
2023-12-15,572.1,573.71,561.65,572.04,571.04,5315900,5315900,-0.06,-0.01048768,569.13,"December 15, 23",-1.048768e-4
2023-12-14,594.5,594.5,568.69,573.67,572.67,5275900,5275900,-20.83,-3.5,578.95,"December 14, 23",-0.035
2023-12-13,583.26,598.67,582.31,597.5,596.45,3112500,3112500,14.24,2.44,592.83,"December 13, 23",0.0244
2023-12-12,582,585.85,578.17,584.76,583.74,2846100,2846100,2.76,0.47423,582.93,"December 12, 23",0.0047423
2023-12-11,598.66,601.19,567.41,584.04,583.02,5614100,5614100,-14.62,-2.44,584.21,"December 11, 23",-0.0244
2023-12-08,589,598.3,584.77,598.05,597,2444600,2444600,9.05,1.54,593.71,"December 08, 23",0.0154
2023-12-07,588.28,588.87,577.61,588.27,587.24,2095000,2095000,-0.01,-0.00169987,584.92,"December 07, 23",-1.69987e-5
2023-12-06,590.74,593.9,584.4,589.25,588.22,2093100,2093100,-1.49,-0.25223,589.18,"December 06, 23",-0.0025223
2023-12-05,583.28,591.8,579.37,588.15,587.12,2157300,2157300,4.87,0.83493,586.44,"December 05, 23",0.0083493
2023-12-04,582.13,587.09,574.33,585.68,584.66,2577100,2577100,3.55,0.60983,582.37,"December 04, 23",0.0060983
2023-12-01,591.7,601.97,583,584.04,583.02,3635900,3635900,-7.66,-1.29,589.67,"December 01, 23",-0.0129
2023-11-30,591.46,596.23,586.21,591.04,590.01,5658400,5658400,-0.42,-0.07101072,591.16,"November 30, 23",-7.101072e-4
2023-11-29,592.2,594.54,584.44,591.86,590.82,1908600,1908600,-0.34,-0.05741304,590.28,"November 29, 23",-5.741304e-4
2023-11-28,592,595.38,589.36,591.6,590.56,1793900,1793900,-0.4,-0.06756757,592.11,"November 28, 23",-6.756757e-4
2023-11-27,601.17,603.69,591.14,591.53,590.49,2630700,2630700,-9.64,-1.6,595.45,"November 27, 23",-0.016
2023-11-24,598.36,603.5,596.98,601.1,600.05,1341700,1341700,2.74,0.45792,600.53,"November 24, 23",0.0045792
2023-11-22,595.4,599.18,586.75,595.09,594.05,2052200,2052200,-0.31,-0.05206584,593.67,"November 22, 23",-5.206584e-4
2023-11-21,598.44,601.56,591.77,592.6,591.56,1851600,1851600,-5.84,-0.97587,595.31,"November 21, 23",-0.0097587
2023-11-20,591.44,604.86,590.69,597.6,596.55,2827200,2827200,6.16,1.04,597.72,"November 20, 23",0.0104
2023-11-17,592.45,596.18,587.21,591.71,590.67,2628200,2628200,-0.74,-0.12491,591.7,"November 17, 23",-0.0012491
2023-11-16,591.5,595.09,581.75,588.75,587.72,3030500,3030500,-2.75,-0.46492,588.53,"November 16, 23",-0.0046492
2023-11-15,610.88,612.91,584.42,588.54,587.51,4287000,4287000,-22.34,-3.66,595.29,"November 15, 23",-0.0366
2023-11-14,608.22,616.04,602.67,610.82,609.75,3827600,3827600,2.6,0.42748,609.84,"November 14, 23",0.0042748
2023-11-13,594.35,618.75,578.15,612.71,610.51,5744800,5744800,18.36,3.09,603.2,"November 13, 23",0.0309
2023-11-10,595,598.86,586,597.71,595.56,3645900,3645900,2.71,0.45546,594.19,"November 10, 23",0.0045546
2023-11-09,614.76,615.65,583.43,591.32,589.2,6279800,6279800,-23.44,-3.81,596.8,"November 09, 23",-0.0381
2023-11-08,607.66,625.87,592.18,619.13,616.91,7776400,7776400,11.47,1.89,612.39,"November 08, 23",0.0189
2023-11-07,597,601.94,590.13,599.93,597.78,3168200,3168200,2.93,0.49079,597.33,"November 07, 23",0.0049079
2023-11-06,571.1,597.71,571.01,595.19,593.05,3978500,3978500,24.09,4.22,587.97,"November 06, 23",0.0422
2023-11-03,578.43,583,567.18,567.81,565.77,3055400,3055400,-10.62,-1.84,572.66,"November 03, 23",-0.0184
