date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-02-22,94.89,96.075,94.14,95.78,95.78,8114694,8112257,0.89,0.93793,95.32,"February 22, 24",0.0093793
2024-02-21,93.86,95.766,93.77,95.02,95.02,8286281,8286300,1.16,1.24,95,"February 21, 24",0.0124
2024-02-20,93.36,94.12,93.065,93.46,93.46,8839526,8844500,0.1,0.10711,93.43,"February 20, 24",0.0010711
2024-02-16,93.1,94.1799,92.75,93.22,93.22,5737486,5734200,0.12,0.12889,93.3,"February 16, 24",0.0012889
2024-02-15,94.03,94.24,93,93.22,93.22,8877987,8878000,-0.81,-0.86143,93.33,"February 15, 24",-0.0086143
2024-02-14,94.08,94.47,93.76,94.07,94.07,5451831,5510600,-0.01,-0.01062925,94.05,"February 14, 24",-1.062925e-4
2024-02-13,94.85,95.56,93.39,93.87,93.87,8138495,8138500,-0.98,-1.03,94.18,"February 13, 24",-0.0103
2024-02-12,96.92,97.1392,95.38,95.47,95.47,9224370,9224400,-1.45,-1.5,95.9,"February 12, 24",-0.015
2024-02-09,96.32,97.99,96.29,97.3,97.3,9385584,9385600,0.98,1.02,97.4,"February 09, 24",0.0102
2024-02-08,95.1,96.69,93.925,96.59,96.59,9888133,9888100,1.49,1.57,95.73,"February 08, 24",0.0157
2024-02-07,96.24,96.6593,94.43,95.31,94.74,9077973,9078000,-0.93,-0.96633,95.24,"February 07, 24",-0.0096633
2024-02-06,92.5,95.7,92.35,95.67,95.1,11531490,11531500,3.17,3.43,94.96,"February 06, 24",0.0343
2024-02-05,92.78,92.868,91.9,92.51,91.96,7335836,7335800,-0.27,-0.29101,92.48,"February 05, 24",-0.0029101
2024-02-02,92.69,93.61,91.67,92.99,92.43,11366586,11365900,0.3,0.32366,92.76,"February 02, 24",0.0032366
2024-02-01,93.1,93.6,91.87,93.37,92.81,15001500,15001500,0.27,0.29001,92.95,"February 01, 24",0.0029001
2024-01-31,98.28,98.36,93.02,93.03,92.47,26751800,26751800,-5.25,-5.34,94.8,"January 31, 24",-0.0534
2024-01-30,93,94.68,92.59,94.08,93.52,17625200,17625200,1.08,1.16,93.78,"January 30, 24",0.0116
2024-01-29,93.02,93.93,92.24,93.8,93.24,12728100,12728100,0.78,0.83853,93.32,"January 29, 24",0.0083853
2024-01-26,92.92,93.49,92.41,92.8,92.25,9229400,9229400,-0.12,-0.12914,92.9,"January 26, 24",-0.0012914
2024-01-25,92.22,92.65,91.72,92.61,92.06,11991500,11991500,0.39,0.4229,92.33,"January 25, 24",0.004229
2024-01-24,92.55,92.84,91.99,92.04,91.49,7661400,7661400,-0.51,-0.55105,92.29,"January 24, 24",-0.0055105
2024-01-23,93.03,93.65,91.77,91.97,91.42,10227100,10227100,-1.06,-1.14,92.46,"January 23, 24",-0.0114
2024-01-22,93.8,93.92,92.81,93.07,92.51,9421000,9421000,-0.73,-0.77825,93.27,"January 22, 24",-0.0077825
2024-01-19,93.18,94.24,92.64,93.86,93.3,9556100,9556100,0.68,0.72977,93.58,"January 19, 24",0.0072977
2024-01-18,91.96,93.43,91.82,93.34,92.78,7549500,7549500,1.38,1.5,92.86,"January 18, 24",0.015
2024-01-17,91.66,91.96,91.4,91.77,91.22,6672900,6672900,0.11,0.12001,91.71,"January 17, 24",0.0012001
2024-01-16,92.66,92.73,91.73,92.7,92.15,7493400,7493400,0.04,0.04316857,92.39,"January 16, 24",4.316857e-4
2024-01-12,93.23,93.4,91.77,91.98,91.43,5638700,5638700,-1.25,-1.34,92.38,"January 12, 24",-0.0134
2024-01-11,93.33,93.64,91.9,92.94,92.38,6483600,6483600,-0.39,-0.41787,92.83,"January 11, 24",-0.0041787
2024-01-10,93.01,93.69,92.88,93.5,92.94,5847700,5847700,0.49,0.52683,93.36,"January 10, 24",0.0052683
2024-01-09,93.61,93.73,92.86,93.09,92.53,6348500,6348500,-0.52,-0.5555,93.23,"January 09, 24",-0.005555
2024-01-08,93.02,94.57,92.95,94.19,93.63,7536900,7536900,1.17,1.26,93.9,"January 08, 24",0.0126
2024-01-05,93.33,93.58,92.48,92.99,92.43,7189900,7189900,-0.34,-0.3643,93.02,"January 05, 24",-0.003643
2024-01-04,93.1,94.58,93,93.55,92.99,7118600,7118600,0.45,0.48335,93.71,"January 04, 24",0.0048335
2024-01-03,93.96,94.24,93.06,93.23,92.67,7161700,7161700,-0.73,-0.77693,93.51,"January 03, 24",-0.0077693
2024-01-02,95.45,95.95,93.62,93.67,93.11,8859700,8859700,-1.78,-1.86,94.41,"January 02, 24",-0.0186
